4,5,36.4
4,6,52.083333333333336
4,7,62.4
4,8,95.44444444444444
4,9,115.0
4,10,142.85714285714286
4,11,197.5
4,12,234.16666666666666
5,5,40.416666666666664
5,6,57.7
5,7,82.0
5,8,113.71428571428571
5,9,158.66666666666666
5,10,189.83333333333334
5,11,228.0
5,12,296.6
6,5,45.3
6,6,66.375
6,7,102.57142857142857
6,8,140.5
6,9,184.2
6,10,228.0
6,11,284.75
6,12,367.0
7,5,58.625
7,6,87.0
7,7,122.5
7,8,246.4
7,9,218.75
7,10,393.75
7,11,655.6666666666666
7,12,338.3333333333333
8,5,62.57142857142857
8,6,88.5
8,7,140.4
8,8,183.5
8,9,261.25
8,10,328.0
8,11,338.0
8,12,437.0
9,5,70.5
